Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AccountSystem01-02-03-04,Chrome 72.0.3626.119,,2019-03-01 15:54:53,2019-03-01 15:56:02,1m - 9.264s,PASSED
,,,,,,
Test Cases/AccountSystem/AccountSystem-01,Chrome 72.0.3626.119,,2019-03-01 15:54:53,2019-03-01 15:55:13,20.128s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-01 15:54:54,2019-03-01 15:54:58,4.496s,PASSED
"navigateToUrl(""http://helpdesk.wisky.vn/"")",Chrome 72.0.3626.119,,2019-03-01 15:54:58,2019-03-01 15:55:00,1.472s,PASSED
"setText(findTestObject(""Object Repository/AccountSystem/AccountSystem-01/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 72.0.3626.119,,2019-03-01 15:55:00,2019-03-01 15:55:00,0.296s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AccountSystem/AccountSystem-01/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 72.0.3626.119,,2019-03-01 15:55:00,2019-03-01 15:55:00,0.236s,PASSED
"click(findTestObject(""Object Repository/AccountSystem/AccountSystem-01/Page_ODTS System/button_ng Nhp""))",Chrome 72.0.3626.119,,2019-03-01 15:55:00,2019-03-01 15:55:01,0.199s,PASSED
"click(findTestObject(""Object Repository/AccountSystem/AccountSystem-01/Page_ODTS System/a_H Thng Ti Khon""))",Chrome 72.0.3626.119,,2019-03-01 15:55:01,2019-03-01 15:55:04,3.916s,PASSED
"click(findTestObject(""Object Repository/AccountSystem/AccountSystem-01/Page_ODTS System/button_To Ti Khon""))",Chrome 72.0.3626.119,,2019-03-01 15:55:04,2019-03-01 15:55:05,0.328s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:55:05,2019-03-01 15:55:06,1.065s,PASSED
"click(findTestObject(""Object Repository/AccountSystem/AccountSystem-01/Page_ODTS System/span_--Chn quyn ti khon--""))",Chrome 72.0.3626.119,,2019-03-01 15:55:06,2019-03-01 15:55:06,0.179s,PASSED
"setText(findTestObject(""Object Repository/AccountSystem/AccountSystem-01/Page_ODTS System/input_ng_select2-search__field""), ""Admin"")",Chrome 72.0.3626.119,,2019-03-01 15:55:06,2019-03-01 15:55:06,0.207s,PASSED
"sendKeys(findTestObject(""Object Repository/AccountSystem/AccountSystem-01/Page_ODTS System/input_ng_select2-search__field""), Keys.chord(ENTER))",Chrome 72.0.3626.119,,2019-03-01 15:55:06,2019-03-01 15:55:06,0.082s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:55:06,2019-03-01 15:55:07,1.024s,PASSED
"setText(findTestObject(""Object Repository/AccountSystem/AccountSystem-01/Page_ODTS System/input_Tn ng Nhp_accNameCreate""), ""anhtest"")",Chrome 72.0.3626.119,,2019-03-01 15:55:07,2019-03-01 15:55:08,0.216s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:55:08,2019-03-01 15:55:09,1.015s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AccountSystem/AccountSystem-01/Page_ODTS System/input_Mt Khu_accPassCreate""), ""aeHFOx8jV/A="")",Chrome 72.0.3626.119,,2019-03-01 15:55:09,2019-03-01 15:55:09,0.148s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:55:09,2019-03-01 15:55:10,1.015s,PASSED
CDATE = SimpleDateFormat(HH:mm dd/MM/yyyy).format(getInstance().getTime()),Chrome 72.0.3626.119,,2019-03-01 15:55:10,2019-03-01 15:55:10,0.041s,PASSED
writer = null,Chrome 72.0.3626.119,,2019-03-01 15:55:10,2019-03-01 15:55:10,0.004s,PASSED
