Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Company06-07-08-09,Chrome 72.0.3626.121,,2019-03-22 14:12:46,2019-03-22 14:14:42,1m - 56.463s,FAILED
,,,,,,
Test Cases/Company/Company-06,Chrome 72.0.3626.121,,2019-03-22 14:12:46,2019-03-22 14:13:45,59.151s,FAILED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-22 14:12:47,2019-03-22 14:12:53,6.216s,PASSED
"navigateToUrl(""http://helpdesk.wisky.vn/"")",Chrome 72.0.3626.121,,2019-03-22 14:12:53,2019-03-22 14:12:55,2.148s,PASSED
"setText(findTestObject(""Company/Company-06/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 72.0.3626.121,,2019-03-22 14:12:55,2019-03-22 14:12:56,0.350s,PASSED
"setEncryptedText(findTestObject(""Company/Company-06/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 72.0.3626.121,,2019-03-22 14:12:56,2019-03-22 14:12:56,0.306s,PASSED
"click(findTestObject(""Company/Company-06/Page_ODTS System/button_ng Nhp""))",Chrome 72.0.3626.121,,2019-03-22 14:12:56,2019-03-22 14:12:56,0.141s,PASSED
"click(findTestObject(""Company/Company-06/Page_ODTS System/a_Cng Ty""))",Chrome 72.0.3626.121,,2019-03-22 14:12:56,2019-03-22 14:13:02,5.500s,PASSED
"click(findTestObject(""Company/Company-06/Page_ODTS System/a_Xem Chi Nhnh""))",Chrome 72.0.3626.121,,2019-03-22 14:13:02,2019-03-22 14:13:02,0.524s,PASSED
"click(findTestObject(""Company/Company-06/Page_ODTS System/font_To Chi Nhnh""))",Chrome 72.0.3626.121,,2019-03-22 14:13:02,2019-03-22 14:13:02,0.167s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-22 14:13:02,2019-03-22 14:13:03,1.054s,PASSED
"click(findTestObject(""Company/Company-06/Page_ODTS System/span_--Chn ti khon--""))",Chrome 72.0.3626.121,,2019-03-22 14:13:03,2019-03-22 14:13:04,0.185s,PASSED
"setText(findTestObject(""Company/Company-06/Page_ODTS System/input_ng_select2-search__field""), ""14021"")",Chrome 72.0.3626.121,,2019-03-22 14:13:04,2019-03-22 14:13:04,0.304s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-22 14:13:04,2019-03-22 14:13:05,1.020s,PASSED
"sendKeys(findTestObject(""Company/Company-06/Page_ODTS System/input_ng_select2-search__field""), Keys.chord(ENTER))",Chrome 72.0.3626.121,,2019-03-22 14:13:05,2019-03-22 14:13:05,0.091s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-22 14:13:05,2019-03-22 14:13:06,1.019s,PASSED
"setText(findTestObject(""Company/Company-06/Page_ODTS System/input_Tn Chi Nhnh_ee""), ""anhtest"")",Chrome 72.0.3626.121,,2019-03-22 14:13:06,2019-03-22 14:13:06,0.212s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-22 14:13:06,2019-03-22 14:13:07,1.031s,PASSED
"setText(findTestObject(""Company/Company-06/Page_ODTS System/input_Tn Qun L Chi Nhnh_yy""), ""anh"")",Chrome 72.0.3626.121,,2019-03-22 14:13:07,2019-03-22 14:13:07,0.190s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-22 14:13:07,2019-03-22 14:13:08,1.021s,PASSED
"setText(findTestObject(""Company/Company-06/Page_ODTS System/input_a Ch_rr""), ""hihi"")",Chrome 72.0.3626.121,,2019-03-22 14:13:08,2019-03-22 14:13:09,0.168s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-22 14:13:09,2019-03-22 14:13:10,1.025s,PASSED
"setText(findTestObject(""Company/Company-06/Page_ODTS System/input_S in Thoi_tt""), ""0123456789"")",Chrome 72.0.3626.121,,2019-03-22 14:13:10,2019-03-22 14:13:10,0.213s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-22 14:13:10,2019-03-22 14:13:11,1.029s,PASSED
"click(findTestObject(""Company/Company-06/Page_ODTS System/button_To Mi""))",Chrome 72.0.3626.121,,2019-03-22 14:13:11,2019-03-22 14:13:11,0.110s,PASSED
"click(findTestObject(""Company/Company-06/Page_ODTS System/button_OK""))",Chrome 72.0.3626.121,,2019-03-22 14:13:11,2019-03-22 14:13:43,31.847s,FAILED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-22 14:13:43,2019-03-22 14:13:44,1.036s,PASSED
"click(findTestObject(""Company/Company-06/Page_ODTS System/fieldSearch""))",Chrome 72.0.3626.121,,2019-03-22 14:13:44,2019-03-22 14:13:44,0.136s,PASSED
"setText(findTestObject(""Company/Company-06/Page_ODTS System/input""), ""anhtest"")",Chrome 72.0.3626.121,,2019-03-22 14:13:44,2019-03-22 14:13:44,0.304s,PASSED
"verifyElementText(findTestObject(""Company/Company-06/Page_ODTS System/td_Passio""), ""Passio"")",Chrome 72.0.3626.121,,2019-03-22 14:13:44,2019-03-22 14:13:44,0.223s,PASSED
"verifyElementText(findTestObject(""Company/Company-06/Page_ODTS System/td_anhtest""), ""anhtest"")",Chrome 72.0.3626.121,,2019-03-22 14:13:44,2019-03-22 14:13:45,0.077s,PASSED
"verifyElementText(findTestObject(""Company/Company-06/Page_ODTS System/td_hihi""), ""hihi"")",Chrome 72.0.3626.121,,2019-03-22 14:13:45,2019-03-22 14:13:45,0.107s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-22 14:13:45,2019-03-22 14:13:45,0.740s,FAILED
,,,,,,
Test Cases/Company/Company-07,Chrome 72.0.3626.121,,2019-03-22 14:13:45,2019-03-22 14:14:02,16.275s,FAILED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-22 14:13:46,2019-03-22 14:13:49,2.569s,PASSED
"navigateToUrl(""http://helpdesk.wisky.vn/"")",Chrome 72.0.3626.121,,2019-03-22 14:13:49,2019-03-22 14:13:54,5.444s,PASSED
"setText(findTestObject(""Company/Company-07/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 72.0.3626.121,,2019-03-22 14:13:54,2019-03-22 14:13:54,0.293s,PASSED
"setEncryptedText(findTestObject(""Company/Company-07/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 72.0.3626.121,,2019-03-22 14:13:54,2019-03-22 14:13:54,0.176s,PASSED
"click(findTestObject(""Company/Company-07/Page_ODTS System/button_ng Nhp""))",Chrome 72.0.3626.121,,2019-03-22 14:13:54,2019-03-22 14:13:55,0.133s,PASSED
"click(findTestObject(""Company/Company-07/Page_ODTS System/span_Cng Ty""))",Chrome 72.0.3626.121,,2019-03-22 14:13:55,2019-03-22 14:13:57,1.934s,PASSED
"click(findTestObject(""Company/Company-07/Page_ODTS System/a_Xem Chi Nhnh""))",Chrome 72.0.3626.121,,2019-03-22 14:13:57,2019-03-22 14:13:57,0.738s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-22 14:13:57,2019-03-22 14:13:58,1.016s,PASSED
"click(findTestObject(""Company/Company-07/Page_ODTS System/fieldSearch""))",Chrome 72.0.3626.121,,2019-03-22 14:13:58,2019-03-22 14:13:58,0.145s,PASSED
"setText(findTestObject(""Company/Company-07/Page_ODTS System/input""), ""anhtest"")",Chrome 72.0.3626.121,,2019-03-22 14:13:58,2019-03-22 14:13:59,0.297s,PASSED
"click(findTestObject(""Company/Company-07/Page_ODTS System/button_Xem Thit b_btn btn-info""))",Chrome 72.0.3626.121,,2019-03-22 14:13:59,2019-03-22 14:13:59,0.131s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-22 14:13:59,2019-03-22 14:14:00,1.016s,PASSED
"verifyElementText(findTestObject(""Company/Company-07/Page_ODTS System/p_Passio""), ""Passio"")",Chrome 72.0.3626.121,,2019-03-22 14:14:00,2019-03-22 14:14:00,0.089s,PASSED
"verifyElementText(findTestObject(""Company/Company-07/Page_ODTS System/p_anhtest""), ""anhtest"")",Chrome 72.0.3626.121,,2019-03-22 14:14:00,2019-03-22 14:14:00,0.080s,PASSED
