Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ITSupporter01-02-03-04,Chrome 72.0.3626.121,,2019-03-25 09:34:14,2019-03-25 09:35:42,1m - 27.767s,PASSED
,,,,,,
Test Cases/ITSupporter/ITSupporter-01,Chrome 72.0.3626.121,,2019-03-25 09:34:15,2019-03-25 09:34:41,25.964s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-25 09:34:15,2019-03-25 09:34:20,4.401s,PASSED
"navigateToUrl(""http://helpdesk.wisky.vn/"")",Chrome 72.0.3626.121,,2019-03-25 09:34:20,2019-03-25 09:34:21,1.710s,PASSED
"setText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 72.0.3626.121,,2019-03-25 09:34:21,2019-03-25 09:34:22,0.319s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 72.0.3626.121,,2019-03-25 09:34:22,2019-03-25 09:34:22,0.307s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/button_ng Nhp""))",Chrome 72.0.3626.121,,2019-03-25 09:34:22,2019-03-25 09:34:22,0.193s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/a_Nhn Vin K Thut""))",Chrome 72.0.3626.121,,2019-03-25 09:34:22,2019-03-25 09:34:25,2.628s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-25 09:34:25,2019-03-25 09:34:26,1.102s,PASSED
"click(findTestObject(""Object Repository/ITSupporter/ITSupporter-01/Page_ODTS System/button_To Nhn Vin""))",Chrome 72.0.3626.121,,2019-03-25 09:34:26,2019-03-25 09:34:26,0.173s,PASSED
waitForAlert(1),Chrome 72.0.3626.121,,2019-03-25 09:34:26,2019-03-25 09:34:27,1.026s,PASSED
