Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TypeOfDevice01-02-03-04,Chrome 72.0.3626.119,,2019-03-01 14:30:39,2019-03-01 14:32:27,1m - 47.598s,FAILED
,,,,,,
Test Cases/TypeOfDevice/Type of device-01,Chrome 72.0.3626.119,,2019-03-01 14:30:40,2019-03-01 14:31:37,56.694s,FAILED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-01 14:30:42,2019-03-01 14:30:49,6.847s,PASSED
"navigateToUrl(""http://helpdesk.wisky.vn/"")",Chrome 72.0.3626.119,,2019-03-01 14:30:49,2019-03-01 14:30:52,3.772s,PASSED
"setText(findTestObject(""TypeOfDevice/Type of device-01/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 72.0.3626.119,,2019-03-01 14:30:52,2019-03-01 14:30:53,0.506s,PASSED
"setEncryptedText(findTestObject(""TypeOfDevice/Type of device-01/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 72.0.3626.119,,2019-03-01 14:30:53,2019-03-01 14:30:53,0.464s,PASSED
"click(findTestObject(""TypeOfDevice/Type of device-01/Page_ODTS System/button_ng Nhp""))",Chrome 72.0.3626.119,,2019-03-01 14:30:53,2019-03-01 14:30:54,0.370s,PASSED
"click(findTestObject(""TypeOfDevice/Type of device-01/Page_ODTS System/a_Loi Thit B""))",Chrome 72.0.3626.119,,2019-03-01 14:30:54,2019-03-01 14:30:56,2.168s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 14:30:56,2019-03-01 14:30:57,1.307s,PASSED
"click(findTestObject(""TypeOfDevice/Type of device-01/Page_ODTS System/font_To Loi Thit B""))",Chrome 72.0.3626.119,,2019-03-01 14:30:57,2019-03-01 14:30:57,0.270s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 14:30:57,2019-03-01 14:30:59,1.084s,PASSED
"setText(findTestObject(""TypeOfDevice/Type of device-01/Page_ODTS System/input_Tn Loi Thit B_dtNameCrea""), ""anhtest"")",Chrome 72.0.3626.119,,2019-03-01 14:30:59,2019-03-01 14:30:59,0.275s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 14:30:59,2019-03-01 14:31:00,1.081s,PASSED
"click(findTestObject(""TypeOfDevice/Type of device-01/Page_ODTS System/span_--Chn Loi Dch V--""))",Chrome 72.0.3626.119,,2019-03-01 14:31:00,2019-03-01 14:31:00,0.247s,PASSED
"setText(findTestObject(""TypeOfDevice/Type of device-01/Page_ODTS System/input_ng_select2-search__field""), ""CAMERA"")",Chrome 72.0.3626.119,,2019-03-01 14:31:00,2019-03-01 14:31:01,0.580s,PASSED
"sendKeys(findTestObject(""TypeOfDevice/Type of device-01/Page_ODTS System/input_ng_select2-search__field""), Keys.chord(ENTER))",Chrome 72.0.3626.119,,2019-03-01 14:31:01,2019-03-01 14:31:01,0.336s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 14:31:01,2019-03-01 14:31:02,1.101s,PASSED
