Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TypeOfService05-06-07-08,Chrome 73.0.3683.86,,2019-04-03 16:39:43,2019-04-03 16:40:53,1m - 9.877s,PASSED
,,,,,,
Test Cases/TypeOfService/Type of service-05,Chrome 73.0.3683.86,,2019-04-03 16:39:44,2019-04-03 16:40:08,24.167s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-03 16:39:45,2019-04-03 16:39:50,5.131s,PASSED
navigateToUrl(url),Chrome 73.0.3683.86,,2019-04-03 16:39:50,2019-04-03 16:39:53,3.267s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 73.0.3683.86,,2019-04-03 16:39:53,2019-04-03 16:39:53,0.304s,PASSED
"setEncryptedText(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 73.0.3683.86,,2019-04-03 16:39:53,2019-04-03 16:39:54,0.307s,PASSED
"click(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/button_ng Nhp""))",Chrome 73.0.3683.86,,2019-04-03 16:39:54,2019-04-03 16:39:54,0.171s,PASSED
"click(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/a_Loi Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:39:54,2019-04-03 16:39:59,5.715s,PASSED
"click(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/a_Xem Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:39:59,2019-04-03 16:40:00,0.444s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:40:00,2019-04-03 16:40:01,1.152s,PASSED
"click(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/button_To Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:40:01,2019-04-03 16:40:01,0.158s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:40:01,2019-04-03 16:40:02,1.019s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/input_Tn Dch V_siNameC""), ""anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:40:02,2019-04-03 16:40:02,0.191s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:40:02,2019-04-03 16:40:03,1.020s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/input_M T Dch V_siDescriptionC""), ""haha"")",Chrome 73.0.3683.86,,2019-04-03 16:40:03,2019-04-03 16:40:04,0.239s,PASSED
CDATE = SimpleDateFormat(HH:mm dd/MM/yyyy).format(getInstance().getTime()),Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:04,0.038s,PASSED
writer = null,Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:04,0.002s,PASSED
writer2 = null,Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:04,0.002s,PASSED
"fileNameCre = ""creDateService.txt""",Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:04,0.001s,PASSED
"fileNameUp = ""upDateService.txt""",Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:04,0.001s,PASSED
"workingDirectory = System.getProperty(""user.dir"")",Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:04,0.002s,PASSED
absoluteFilePathCre = workingDirectory + separator + fileNameCre,Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:04,0.010s,PASSED
absoluteFilePathUp = workingDirectory + separator + fileNameUp,Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:04,0.000s,PASSED
try,Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:04,0.082s,PASSED
Finally,Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:04,0.016s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:40:04,2019-04-03 16:40:05,1.021s,PASSED
"click(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/button_To Mi""))",Chrome 73.0.3683.86,,2019-04-03 16:40:05,2019-04-03 16:40:05,0.121s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:40:05,2019-04-03 16:40:06,1.027s,PASSED
"click(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/button_OK""))",Chrome 73.0.3683.86,,2019-04-03 16:40:06,2019-04-03 16:40:06,0.144s,PASSED
"click(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/fieldSearch""))",Chrome 73.0.3683.86,,2019-04-03 16:40:06,2019-04-03 16:40:07,0.647s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/input""), ""anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:40:07,2019-04-03 16:40:07,0.172s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/td_anhtest""), ""anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:40:07,2019-04-03 16:40:07,0.135s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/td_haha""), ""haha"")",Chrome 73.0.3683.86,,2019-04-03 16:40:07,2019-04-03 16:40:07,0.118s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-05/Page_ODTS System/td_1340 25022019""), CDATE)",Chrome 73.0.3683.86,,2019-04-03 16:40:07,2019-04-03 16:40:07,0.074s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-03 16:40:07,2019-04-03 16:40:08,0.802s,PASSED
,,,,,,
Test Cases/TypeOfService/Type of service-06,Chrome 73.0.3683.86,,2019-04-03 16:40:08,2019-04-03 16:40:22,13.516s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-03 16:40:09,2019-04-03 16:40:12,3.096s,PASSED
navigateToUrl(url),Chrome 73.0.3683.86,,2019-04-03 16:40:12,2019-04-03 16:40:14,1.885s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-06/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 73.0.3683.86,,2019-04-03 16:40:14,2019-04-03 16:40:14,0.232s,PASSED
"setEncryptedText(findTestObject(""TypeOfService/Type of service-06/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 73.0.3683.86,,2019-04-03 16:40:14,2019-04-03 16:40:14,0.199s,PASSED
"click(findTestObject(""TypeOfService/Type of service-06/Page_ODTS System/button_ng Nhp""))",Chrome 73.0.3683.86,,2019-04-03 16:40:14,2019-04-03 16:40:14,0.129s,PASSED
"click(findTestObject(""TypeOfService/Type of service-06/Page_ODTS System/a_Loi Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:40:14,2019-04-03 16:40:17,2.784s,PASSED
"click(findTestObject(""TypeOfService/Type of service-06/Page_ODTS System/a_Xem Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:40:17,2019-04-03 16:40:18,0.660s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:40:18,2019-04-03 16:40:19,1.062s,PASSED
"click(findTestObject(""TypeOfService/Type of service-06/Page_ODTS System/fieldSearch""))",Chrome 73.0.3683.86,,2019-04-03 16:40:19,2019-04-03 16:40:19,0.132s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-06/Page_ODTS System/input""), ""anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:40:19,2019-04-03 16:40:19,0.240s,PASSED
"click(findTestObject(""TypeOfService/Type of service-06/Page_ODTS System/button_Xem Hng Dn_btn btn-info""))",Chrome 73.0.3683.86,,2019-04-03 16:40:19,2019-04-03 16:40:19,0.178s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:40:19,2019-04-03 16:40:20,1.019s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-06/Page_ODTS System/p_anhtest""), ""anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:40:20,2019-04-03 16:40:20,0.119s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-06/Page_ODTS System/p_haha""), ""haha"")",Chrome 73.0.3683.86,,2019-04-03 16:40:20,2019-04-03 16:40:21,0.111s,PASSED
CDATE = null,Chrome 73.0.3683.86,,2019-04-03 16:40:21,2019-04-03 16:40:21,0.001s,PASSED
UDATE = null,Chrome 73.0.3683.86,,2019-04-03 16:40:21,2019-04-03 16:40:21,0.001s,PASSED
br = null,Chrome 73.0.3683.86,,2019-04-03 16:40:21,2019-04-03 16:40:21,0.001s,PASSED
"fileNameCre = ""creDateService.txt""",Chrome 73.0.3683.86,,2019-04-03 16:40:21,2019-04-03 16:40:21,0.001s,PASSED
"fileNameUp = ""upDateService.txt""",Chrome 73.0.3683.86,,2019-04-03 16:40:21,2019-04-03 16:40:21,0.001s,PASSED
"workingDirectory = System.getProperty(""user.dir"")",Chrome 73.0.3683.86,,2019-04-03 16:40:21,2019-04-03 16:40:21,0.001s,PASSED
absoluteFilePathCre = workingDirectory + separator + fileNameCre,Chrome 73.0.3683.86,,2019-04-03 16:40:21,2019-04-03 16:40:21,0.001s,PASSED
absoluteFilePathUp = workingDirectory + separator + fileNameUp,Chrome 73.0.3683.86,,2019-04-03 16:40:21,2019-04-03 16:40:21,0.001s,PASSED
try,Chrome 73.0.3683.86,,2019-04-03 16:40:21,2019-04-03 16:40:21,0.029s,PASSED
Finally,Chrome 73.0.3683.86,,2019-04-03 16:40:21,2019-04-03 16:40:21,0.001s,PASSED
