Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TypeOfService09-10-11,Chrome 73.0.3683.86,,2019-04-03 16:41:45,2019-04-03 16:42:47,1m - 1.997s,PASSED
,,,,,,
Test Cases/TypeOfService/Type of service-09,Chrome 73.0.3683.86,,2019-04-03 16:41:45,2019-04-03 16:42:16,30.361s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-03 16:41:46,2019-04-03 16:41:52,5.474s,PASSED
navigateToUrl(url),Chrome 73.0.3683.86,,2019-04-03 16:41:52,2019-04-03 16:41:54,2.354s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 73.0.3683.86,,2019-04-03 16:41:54,2019-04-03 16:41:54,0.291s,PASSED
"setEncryptedText(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 73.0.3683.86,,2019-04-03 16:41:54,2019-04-03 16:41:55,0.267s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/button_ng Nhp""))",Chrome 73.0.3683.86,,2019-04-03 16:41:55,2019-04-03 16:41:55,0.164s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/a_Loi Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:41:55,2019-04-03 16:41:57,2.349s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:41:57,2019-04-03 16:41:58,1.284s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/a_Xem Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:41:58,2019-04-03 16:41:59,0.477s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:41:59,2019-04-03 16:42:00,1.022s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/a_Xem Hng Dn""))",Chrome 73.0.3683.86,,2019-04-03 16:42:00,2019-04-03 16:42:07,7.396s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:42:07,2019-04-03 16:42:08,1.030s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/font_To Hng Dn""))",Chrome 73.0.3683.86,,2019-04-03 16:42:08,2019-04-03 16:42:08,0.172s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:42:08,2019-04-03 16:42:09,1.026s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/input_Ni dung hng dn_siGuideli""), ""anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:42:09,2019-04-03 16:42:10,0.214s,PASSED
CDATE = SimpleDateFormat(dd/MM/yyyy).format(getInstance().getTime()),Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:10,0.041s,PASSED
writer = null,Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:10,0.002s,PASSED
writer2 = null,Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:10,0.001s,PASSED
"fileNameCre = ""creDateGuide.txt""",Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:10,0.001s,PASSED
"fileNameUp = ""upDateGuide.txt""",Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:10,0.001s,PASSED
"workingDirectory = System.getProperty(""user.dir"")",Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:10,0.003s,PASSED
absoluteFilePathCre = workingDirectory + separator + fileNameCre,Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:10,0.011s,PASSED
absoluteFilePathUp = workingDirectory + separator + fileNameUp,Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:10,0.001s,PASSED
try,Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:10,0.054s,PASSED
Finally,Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:10,0.037s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:42:10,2019-04-03 16:42:11,1.040s,PASSED
